Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
AWN4M|Arts visuels - peinture|12e année|Filière préuniversitaire/précollégiale|360
AWO1O|Arts visuels - techniques d'impression|9e année|Ouvert|16
AWO2O|Arts visuels - techniques d'impression|10e année|Ouvert|105
AWO3M|Arts visuels - techniques d'impression|11e année|Filière préuniversitaire/précollégiale|161
AWO3O|Arts visuels - techniques d'impression|11e année|Ouvert|98
AWO4M|Arts visuels - techniques d'impression|12e année|Filière préuniversitaire/précollégiale|140
AWP1O|Arts visuels - sculpture|9e année|Ouvert|22
AWP2O|Arts visuels - sculpture|10e année|Ouvert|140
AWP3M|Arts visuels - sculpture|11e année|Filière préuniversitaire/précollégiale|222
AWP3O|Arts visuels - sculpture|11e année|Ouvert|162
AWP4M|Arts visuels - sculpture|12e année|Filière préuniversitaire/précollégiale|273
AWQ1O|Arts visuels - photographie|9e année|Ouvert|142
AWQ2O|Arts visuels - photographie|10e année|Ouvert|4128
AWQ3M|Arts visuels - photographie|11e année|Filière préuniversitaire/précollégiale|7835
AWQ3O|Arts visuels - photographie|11e année|Ouvert|4754
AWQ4M|Arts visuels - photographie|12e année|Filière préuniversitaire/précollégiale|4029
AWR1O|Arts visuels - cinéma/vidéo|9e année|Ouvert|101
AWR2O|Arts visuels - cinéma/vidéo|10e année|Ouvert|118
AWR3M|Arts visuels - cinéma/vidéo|11e année|Filière préuniversitaire/précollégiale|881
AWR3O|Arts visuels - cinéma/vidéo|11e année|Ouvert|298
AWR4M|Arts visuels - cinéma/vidéo|12e année|Filière préuniversitaire/précollégiale|1041
AWS1O|Arts visuels - outils numériques|9e année|Ouvert|625
AWS2O|Arts visuels - outils numériques|10e année|Ouvert|1293
AWS3M|Arts visuels - outils numériques|11e année|Filière préuniversitaire/précollégiale|1141
AWS3O|Arts visuels - outils numériques|11e année|Ouvert|230
AWS4M|Arts visuels - outils numériques|12e année|Filière préuniversitaire/précollégiale|716
AWT1O|Arts visuels - art expérimental|9e année|Ouvert|332
AWT2O|Arts visuels - art expérimental|10e année|Ouvert|409
