Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
AVI4E|Arts visuels|12e année|Filière préemploi|550
AVI4M|Arts visuels|12e année|Filière préuniversitaire/précollégiale|11628
AVN4T|Sculptures|12e année|Cours collégial, enseigné par le collège (DRC)|36
AVP4T|Painting|12e année|Cours collégial, enseigné par le collège (DRC)|37
AWA1O|Métiers d'arts|9e année|Ouvert|352
AWA2O|Métiers d'arts|10e année|Ouvert|2463
AWA3M|Métiers d'arts|11e année|Filière préuniversitaire/précollégiale|117
AWA3O|Métiers d'arts|11e année|Ouvert|1797
AWA4M|Métiers d'arts|12e année|Filière préuniversitaire/précollégiale|280
AWC2O|Arts visuels - céramique et poterie|10e année|Ouvert|434
AWC3M|Arts visuels - céramique et poterie|11e année|Filière préuniversitaire/précollégiale|487
AWC3O|Arts visuels - céramique et poterie|11e année|Ouvert|477
AWC4M|Arts visuels - céramique et poterie|12e année|Filière préuniversitaire/précollégiale|360
AWD1O|Arts visuels - design appliqué|9e année|Ouvert|295
AWD2O|Arts visuels - design appliqué|10e année|Ouvert|706
AWD3M|Arts visuels - design appliqué|11e année|Filière préuniversitaire/précollégiale|1027
AWD3O|Arts visuels - design appliqué|11e année|Ouvert|248
AWD4M|Arts visuels - design appliqué|12e année|Filière préuniversitaire/précollégiale|1407
AWE1O|Arts visuels - graphisme de communication|9e année|Ouvert|<10
AWE2O|Arts visuels - graphisme de communication|10e année|Ouvert|94
AWE3M|Arts visuels - graphisme de communication|11e année|Filière préuniversitaire/précollégiale|386
AWE3O|Arts visuels - graphisme de communication|11e année|Ouvert|105
AWE4M|Arts visuels - graphisme de communication|12e année|Filière préuniversitaire/précollégiale|620
AWF2O|Arts visuels - design industriel|10e année|Ouvert|81
AWF3M|Arts visuels - design industriel|11e année|Filière préuniversitaire/précollégiale|22
AWF3O|Arts visuels - design industriel|11e année|Ouvert|24
AWF4M|Arts visuels - design industriel|12e année|Filière préuniversitaire/précollégiale|64
AWG3M|Arts visuels - design d'environnement|11e année|Filière préuniversitaire/précollégiale|<10
AWH3M|Arts visuels - design d'intérieur|11e année|Filière préuniversitaire/précollégiale|104
AWH3O|Arts visuels - design d'intérieur|11e année|Ouvert|54
AWH4M|Arts visuels - design d'intérieur|12e année|Filière préuniversitaire/précollégiale|147
AWI1O|Arts visuels - mode et textile|9e année|Ouvert|29
AWI2O|Arts visuels - mode et textile|10e année|Ouvert|251
AWI3M|Arts visuels - mode et textile|11e année|Filière préuniversitaire/précollégiale|164
AWI3O|Arts visuels - mode et textile|11e année|Ouvert|269
AWI4M|Arts visuels - mode et textile|12e année|Filière préuniversitaire/précollégiale|162
AWJ2O|Arts visuels - décor de spectacle|10e année|Ouvert|20
AWJ3M|Arts visuels - décor de spectacle|11e année|Filière préuniversitaire/précollégiale|34
AWJ3O|Arts visuels - décor de spectacle|11e année|Ouvert|84
AWJ4M|Décor de spectacle : danse, musique, théâtre et autre|12e année|Filière préuniversitaire/précollégiale|44
AWK1O|Arts visuels - illustration|9e année|Ouvert|34
AWK2O|Arts visuels - illustration|10e année|Ouvert|120
AWK3M|Arts visuels - illustration|11e année|Filière préuniversitaire/précollégiale|171
AWK3O|Arts visuels - illustration|11e année|Ouvert|101
AWK4M|Arts visuels - illustration|12e année|Filière préuniversitaire/précollégiale|257
AWL1O|Arts visuels - dessin|9e année|Ouvert|75
AWL2O|Arts visuels - dessin|10e année|Ouvert|91
AWL3M|Arts visuels - dessin|11e année|Filière préuniversitaire/précollégiale|463
AWL3O|Arts visuels - dessin|11e année|Ouvert|151
AWL4M|Arts visuels - dessin|12e année|Filière préuniversitaire/précollégiale|395
AWM1O|Arts visuels - dessin et peinture|9e année|Ouvert|321
AWM2O|Arts visuels - dessin et peinture|10e année|Ouvert|424
AWM3M|Arts visuels - dessin et peinture|11e année|Filière préuniversitaire/précollégiale|944
AWM3O|Arts visuels - dessin et peinture|11e année|Ouvert|223
AWM4M|Arts visuels - dessin et peinture|12e année|Filière préuniversitaire/précollégiale|1261
AWN2O|Arts visuels - peinture|10e année|Ouvert|59
AWN3M|Arts visuels - peinture|11e année|Filière préuniversitaire/précollégiale|96
AWN3O|Arts visuels - peinture|11e année|Ouvert|111
AWN4M|Arts visuels - peinture|12e année|Filière préuniversitaire/précollégiale|395
AWO1O|Arts visuels - techniques d'impression|9e année|Ouvert|13
AWO2O|Arts visuels - techniques d'impression|10e année|Ouvert|123
AWO3M|Arts visuels - techniques d'impression|11e année|Filière préuniversitaire/précollégiale|151
AWO3O|Arts visuels - techniques d'impression|11e année|Ouvert|195
AWO4M|Arts visuels - techniques d'impression|12e année|Filière préuniversitaire/précollégiale|189
AWP2O|Arts visuels - sculpture|10e année|Ouvert|189
AWP3M|Arts visuels - sculpture|11e année|Filière préuniversitaire/précollégiale|247
AWP3O|Arts visuels - sculpture|11e année|Ouvert|193
AWP4M|Arts visuels - sculpture|12e année|Filière préuniversitaire/précollégiale|292
AWQ1O|Arts visuels - photographie|9e année|Ouvert|35
AWQ2O|Arts visuels - photographie|10e année|Ouvert|3414
AWQ3M|Arts visuels - photographie|11e année|Filière préuniversitaire/précollégiale|6679
AWQ3O|Arts visuels - photographie|11e année|Ouvert|4725
AWQ4M|Arts visuels - photographie|12e année|Filière préuniversitaire/précollégiale|3874
AWR1O|Arts visuels - cinéma/vidéo|9e année|Ouvert|60
AWR2O|Arts visuels - cinéma/vidéo|10e année|Ouvert|144
AWR3M|Arts visuels - cinéma/vidéo|11e année|Filière préuniversitaire/précollégiale|905
AWR3O|Arts visuels - cinéma/vidéo|11e année|Ouvert|300
AWR4M|Arts visuels - cinéma/vidéo|12e année|Filière préuniversitaire/précollégiale|1117
AWS1O|Arts visuels - outils numériques|9e année|Ouvert|699
AWS2O|Arts visuels - outils numériques|10e année|Ouvert|1238
AWS3M|Arts visuels - outils numériques|11e année|Filière préuniversitaire/précollégiale|1222
AWS3O|Arts visuels - outils numériques|11e année|Ouvert|270
AWS4M|Arts visuels - outils numériques|12e année|Filière préuniversitaire/précollégiale|777
AWT1O|Arts visuels - art expérimental|9e année|Ouvert|195
AWT2O|Arts visuels - art expérimental|10e année|Ouvert|511
AWT3M|Arts visuels - art expérimental|11e année|Filière préuniversitaire/précollégiale|428
AWT3O|Arts visuels - art expérimental|11e année|Ouvert|446
AWT4M|Arts visuels - art expérimental|12e année|Filière préuniversitaire/précollégiale|835
AWU2O|Arts visuels - histoire de l'art et cultures mondiales|10e année|Ouvert|50
AWU3M|Arts visuels - histoire de l'art et cultures mondiales|11e année|Filière préuniversitaire/précollégiale|<10
AWU3O|Arts visuels - histoire de l'art et cultures mondiales|11e année|Ouvert|144
AWU4M|Arts visuels - histoire de l'art et cultures mondiales|12e année|Filière préuniversitaire/précollégiale|177
